fromNode	toNode	weight	cluster
24	23	1	1
44	24	1	1
44	64	1	1
44	45	1	1
44	43	1	1
64	44	1	1
64	63	1	1
104	124	1	1
104	105	1	1
104	103	1	1
124	104	1	1
124	144	1	1
124	125	1	1
124	123	1	1
144	124	1	1
144	164	1	1
144	145	1	1
144	143	1	1
164	144	1	1
164	184	1	1
164	165	1	1
164	163	1	1
184	164	1	1
184	185	1	1
184	183	1	1
45	46	1	1
45	44	1	1
105	125	1	1
105	106	1	1
105	104	1	1
125	105	1	1
125	145	1	1
125	126	1	1
125	124	1	1
145	125	1	1
145	165	1	1
145	146	1	1
145	144	1	1
165	145	1	1
165	185	1	1
165	166	1	1
165	164	1	1
185	165	1	1
185	186	1	1
185	184	1	1
6	26	1	1
6	7	1	1
26	6	1	1
26	46	1	1
26	27	1	1
46	26	1	1
46	66	1	1
46	47	1	1
46	45	1	1
66	46	1	1
66	86	1	1
66	67	1	1
86	66	1	1
86	106	1	1
86	87	1	1
106	86	1	1
106	126	1	1
106	107	1	1
106	105	1	1
126	106	1	1
126	146	1	1
126	127	1	1
126	125	1	1
146	126	1	1
146	166	1	1
146	147	1	1
146	145	1	1
166	146	1	1
166	186	1	1
166	167	1	1
166	165	1	1
186	166	1	1
186	187	1	1
186	185	1	1
7	27	1	1
7	8	1	1
7	6	1	1
27	7	1	1
27	47	1	1
27	28	1	1
27	26	1	1
47	27	1	1
47	67	1	1
47	48	1	1
47	46	1	1
67	47	1	1
67	87	1	1
67	68	1	1
67	66	1	1
87	67	1	1
87	107	1	1
87	88	1	1
87	86	1	1
107	87	1	1
107	127	1	1
107	108	1	1
107	106	1	1
127	107	1	1
127	147	1	1
127	128	1	1
127	126	1	1
147	127	1	1
147	167	1	1
147	148	1	1
147	146	1	1
167	147	1	1
167	187	1	1
167	168	1	1
167	166	1	1
187	167	1	1
187	188	1	1
187	186	1	1
8	28	1	1
8	9	1	1
8	7	1	1
28	8	1	1
28	48	1	1
28	29	1	1
28	27	1	1
48	28	1	1
48	68	1	1
48	49	1	1
48	47	1	1
68	48	1	1
68	88	1	1
68	69	1	1
68	67	1	1
88	68	1	1
88	108	1	1
88	89	1	1
88	87	1	1
108	88	1	1
108	128	1	1
108	109	1	1
108	107	1	1
128	108	1	1
128	148	1	1
128	129	1	1
128	127	1	1
148	128	1	1
148	168	1	1
148	149	1	1
148	147	1	1
168	148	1	1
168	188	1	1
168	169	1	1
168	167	1	1
188	168	1	1
188	189	1	1
188	187	1	1
9	29	1	1
9	10	1	1
9	8	1	1
29	9	1	1
29	49	1	1
29	30	1	1
29	28	1	1
49	29	1	1
49	69	1	1
49	50	1	1
49	48	1	1
69	49	1	1
69	89	1	1
69	70	1	1
69	68	1	1
89	69	1	1
89	109	1	1
89	90	1	1
89	88	1	1
109	89	1	1
109	129	1	1
109	110	1	1
109	108	1	1
129	109	1	1
129	149	1	1
129	130	1	1
129	128	1	1
149	129	1	1
149	169	1	1
149	150	1	1
149	148	1	1
169	149	1	1
169	189	1	1
169	170	1	1
169	168	1	1
189	169	1	1
189	190	1	1
189	188	1	1
10	30	1	1
10	11	1	1
10	9	1	1
30	10	1	1
30	50	1	1
30	31	1	1
30	29	1	1
50	30	1	1
50	70	1	1
50	51	1	1
50	49	1	1
70	50	1	1
70	90	1	1
70	71	1	1
70	69	1	1
90	70	1	1
90	110	1	1
90	91	1	1
90	89	1	1
110	90	1	1
110	130	1	1
110	111	1	1
110	109	1	1
130	110	1	1
130	150	1	1
130	131	1	1
130	129	1	1
150	130	1	1
150	170	1	1
150	151	1	1
150	149	1	1
170	150	1	1
170	190	1	1
170	171	1	1
170	169	1	1
190	170	1	1
190	191	1	1
190	189	1	1
11	31	1	1
11	12	1	1
11	10	1	1
31	11	1	1
31	51	1	1
31	32	1	1
31	30	1	1
51	31	1	1
51	71	1	1
51	52	1	1
51	50	1	1
71	51	1	1
71	91	1	1
71	72	1	1
71	70	1	1
91	71	1	1
91	111	1	1
91	92	1	1
91	90	1	1
111	91	1	1
111	131	1	1
111	112	1	1
111	110	1	1
131	111	1	1
131	151	1	1
131	132	1	1
131	130	1	1
151	131	1	1
151	171	1	1
151	152	1	1
151	150	1	1
171	151	1	1
171	191	1	1
171	172	1	1
171	170	1	1
191	171	1	1
191	192	1	1
191	190	1	1
12	32	1	1
12	13	1	1
12	11	1	1
32	12	1	1
32	52	1	1
32	33	1	1
32	31	1	1
52	32	1	1
52	72	1	1
52	53	1	1
52	51	1	1
72	52	1	1
72	92	1	1
72	73	1	1
72	71	1	1
92	72	1	1
92	112	1	1
92	93	1	1
92	91	1	1
112	92	1	1
112	132	1	1
112	113	1	1
112	111	1	1
132	112	1	1
132	152	1	1
132	133	1	1
132	131	1	1
152	132	1	1
152	172	1	1
152	153	1	1
152	151	1	1
172	152	1	1
172	192	1	1
172	173	1	1
172	171	1	1
192	172	1	1
192	193	1	1
192	191	1	1
13	33	1	1
13	14	1	1
13	12	1	1
33	13	1	1
33	53	1	1
33	34	1	1
33	32	1	1
53	33	1	1
53	73	1	1
53	54	1	1
53	52	1	1
73	53	1	1
73	93	1	1
73	74	1	1
73	72	1	1
93	73	1	1
93	113	1	1
93	94	1	1
93	92	1	1
113	93	1	1
113	133	1	1
113	114	1	1
113	112	1	1
133	113	1	1
133	153	1	1
133	134	1	1
133	132	1	1
153	133	1	1
153	173	1	1
153	154	1	1
153	152	1	1
173	153	1	1
173	193	1	1
173	174	1	1
173	172	1	1
193	173	1	1
193	194	1	1
193	192	1	1
14	34	1	1
14	15	1	1
14	13	1	1
34	14	1	1
34	54	1	1
34	35	1	1
34	33	1	1
54	34	1	1
54	74	1	1
54	55	1	1
54	53	1	1
74	54	1	1
74	94	1	1
74	75	1	1
74	73	1	1
94	74	1	1
94	114	1	1
94	95	1	1
94	93	1	1
114	94	1	1
114	134	1	1
114	115	1	1
114	113	1	1
134	114	1	1
134	154	1	1
134	135	1	1
134	133	1	1
154	134	1	1
154	174	1	1
154	155	1	1
154	153	1	1
174	154	1	1
174	194	1	1
174	175	1	1
174	173	1	1
194	174	1	1
194	195	1	1
194	193	1	1
15	35	1	1
15	16	1	1
15	14	1	1
35	15	1	1
35	55	1	1
35	36	1	1
35	34	1	1
55	35	1	1
55	75	1	1
55	56	1	1
55	54	1	1
75	55	1	1
75	95	1	1
75	76	1	1
75	74	1	1
95	75	1	1
95	115	1	1
95	96	1	1
95	94	1	1
115	95	1	1
115	135	1	1
115	116	1	1
115	114	1	1
135	115	1	1
135	155	1	1
135	136	1	1
135	134	1	1
155	135	1	1
155	175	1	1
155	156	1	1
155	154	1	1
175	155	1	1
175	195	1	1
175	176	1	1
175	174	1	1
195	175	1	1
195	196	1	1
195	194	1	1
16	36	1	1
16	17	1	1
16	15	1	1
36	16	1	1
36	56	1	1
36	37	1	1
36	35	1	1
56	36	1	1
56	76	1	1
56	57	1	1
56	55	1	1
76	56	1	1
76	96	1	1
76	77	1	1
76	75	1	1
96	76	1	1
96	116	1	1
96	97	1	1
96	95	1	1
116	96	1	1
116	136	1	1
116	117	1	1
116	115	1	1
136	116	1	1
136	156	1	1
136	137	1	1
136	135	1	1
156	136	1	1
156	176	1	1
156	157	1	1
156	155	1	1
176	156	1	1
176	196	1	1
176	177	1	1
176	175	1	1
196	176	1	1
196	197	1	1
196	195	1	1
17	37	1	1
17	18	1	1
17	16	1	1
37	17	1	1
37	57	1	1
37	38	1	1
37	36	1	1
57	37	1	1
57	77	1	1
57	58	1	1
57	56	1	1
77	57	1	1
77	97	1	1
77	78	1	1
77	76	1	1
97	77	1	1
97	117	1	1
97	98	1	1
97	96	1	1
117	97	1	1
117	137	1	1
117	118	1	1
117	116	1	1
137	117	1	1
137	157	1	1
137	138	1	1
137	136	1	1
157	137	1	1
157	177	1	1
157	158	1	1
157	156	1	1
177	157	1	1
177	197	1	1
177	178	1	1
177	176	1	1
197	177	1	1
197	198	1	1
197	196	1	1
18	38	1	1
18	19	1	1
18	17	1	1
38	18	1	1
38	58	1	1
38	39	1	1
38	37	1	1
58	38	1	1
58	78	1	1
58	59	1	1
58	57	1	1
78	58	1	1
78	98	1	1
78	79	1	1
78	77	1	1
98	78	1	1
98	118	1	1
98	99	1	1
98	97	1	1
118	98	1	1
118	138	1	1
118	119	1	1
118	117	1	1
138	118	1	1
138	158	1	1
138	139	1	1
138	137	1	1
158	138	1	1
158	178	1	1
158	159	1	1
158	157	1	1
178	158	1	1
178	198	1	1
178	179	1	1
178	177	1	1
198	178	1	1
198	199	1	1
198	197	1	1
19	39	1	1
19	18	1	1
39	19	1	1
39	59	1	1
39	38	1	1
59	39	1	1
59	79	1	1
59	58	1	1
79	59	1	1
79	99	1	1
79	78	1	1
99	79	1	1
99	119	1	1
99	98	1	1
119	99	1	1
119	139	1	1
119	118	1	1
139	119	1	1
139	159	1	1
139	138	1	1
159	139	1	1
159	179	1	1
159	158	1	1
179	159	1	1
179	199	1	1
179	178	1	1
199	179	1	1
199	198	1	1
